sample_id	participant_id	sample_type
section8MGN	HK190801	tissue
section9MGN	HK190801	tissue
section10MGN	HK190804	tissue
section11MGN	HK190804	tissue
section12MGN	HK190804	tissue
section12A2	HK190804	tissue
section13MGN	HK190804	tissue
section14MGN	HK190804	tissue
section4MGN	HK190804	tissue
section5MGN	HK190804	tissue
section6MGN	HK190804	tissue
section7MGN	HK190804	tissue
section8MGN	HK190804	tissue
section9MGN	HK190804	tissue
section10MGN	HK191004	tissue
section11MGN	HK191004	tissue
section12A2	HK191004	tissue
section12MGN	HK191004	tissue
section13MGN	HK191004	tissue
section14MGN	HK191004	tissue
section15MGN	HK191004	tissue
section16MGN	HK191004	tissue
section8MGN	HK191004	tissue
section9MGN	HK191004	tissue
section10MGN	HK191006	tissue
section11MGN	HK191006	tissue
section12MGN	HK191006	tissue
section6MGN	HK191006	tissue
section7MGN	HK191006	tissue
section8MGN	HK191006	tissue
section9A2	HK191006	tissue
section9MGN	HK191006	tissue
slide3section1MGN	MG221018B	tissue
slide3section1A1	MG221018B	tissue
slide3section2MGN	MG221018B	tissue
slide3section3MGN	MG221018B	tissue
slide3section4MGN	MG221018B	tissue
slide3section5MGN	MG221018B	tissue
slide3section6MGN	MG221018B	tissue
slide3section7MGN	MG221018B	tissue
slide3section8MGN	MG221018B	tissue
slide1section10MGN	MG220818	tissue
slide1section11MGN	MG220818	tissue
slide1section12MGN	MG220818	tissue
slide1section7MGN	MG220818	tissue
slide1section8MGN	MG220818	tissue
slide1section9MGN	MG220818	tissue
slide2section1MGN	MG220818	tissue
slide2section2MGN	MG220818	tissue
